id,squadron,type,description,start_lat,start_lng,end_lat,end_lng,start_time,duration_hours,altitude,speed,waypoints,origin_base,target_name,num_aircraft,to_check,mission_category
FEAF-19411210-01,FEAF,P-40 Warhawk,"B-17’s, P-40’s, and P-35’s attack a convoy landing troops and equipment at Vigan and at Aparri in N Luzon. 1 transport at Vigan is destroyed. The strikes include the much publicized attack of Capt Colin P Kelly Jr (14th Bomb Sq) on a warship off Aparri. Capt Kelly, who is killed when his B-17 is shot down by ftrs as he is returning to Clark Field, is later posthumously awarded the DSC for destroying a battleship. However, later information reveals that he attacked the heavy cruiser Ashigara, probably scoring near misses.",15.18,120.56,,,1941-12-10T06:00:00Z,,15000,310,,Clark Field Philippines,,,,Fighter
HAWAIIANAF-19411211-00,Hawaiian AF,B-17 Flying Fortress,"6 B-18’s fly seasearch mission from Hawaiian Islands. Similar missions by B-17’s, B-18’s, and A-20’s are flown each day for the remainder of the year; several submarines are sighted and some are attacked but without positive evidence of hits.",21.3156,-157.9497,,,1941-12-11T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Patrol
HAWAIIANAF-19411211-01,Hawaiian AF,A-20 Havoc,"6 B-18’s fly seasearch mission from Hawaiian Islands. Similar missions by B-17’s, B-18’s, and A-20’s are flown each day for the remainder of the year; several submarines are sighted and some are attacked but without positive evidence of hits.",21.3156,-157.9497,,,1941-12-11T06:00:00Z,,10000,300,,Hickam Field Hawaii,,,,Patrol
FEAF-19411212-00,FEAF,B-17 Flying Fortress,"More than 100 aircraft hit tgts at Clark Field, Batangas, and Olongapo. No hits are scored by the sin- gle B-17 that is sent against transports at Vigan.",15.18,120.56,,,1941-12-12T06:00:00Z,,25000,182,,Clark Field Philippines,,,,Strategic Bombing
FEAF-19411214-00,FEAF,B-17 Flying Fortress,B-17’s are sent against beachhead at Legaspi. 1st Lt Hewitt T Wheless is later awarded DSC for bringing his bullet-riddled aircraft back from the mission to an emergency crash-landing at Cagayan.,15.18,120.56,17.6,121.73,1941-12-14T06:00:00Z,0.9,25000,182,,Clark Field Philippines,Cagayan Valley,,,Strategic Bombing
FEAF-19411217-00,FEAF,B-17 Flying Fortress,"B-17’s, evacuating Luzon, begin arriving at Batchelor Field. Capt Floyd J Pell arrives in Australia to begin arrangements for use of Australian facilities by FEAF.",15.18,120.56,,,1941-12-17T06:00:00Z,,25000,182,,Clark Field Philippines,,,,Strategic Bombing
FEAF-19411222-00,FEAF,B-17 Flying Fortress,9 B-17’s from Batchelor Field attack shipping in Davao Bay and land at Del Monte.,15.18,120.56,7.07,125.61,1941-12-22T06:00:00Z,3.1,25000,182,,Clark Field Philippines,Davao,9,,Strategic Bombing
FEAF-19411223-00,FEAF,B-17 Flying Fortress,"4 B-17’s take off from Del Monte shortly after midnight during 22/23 Dec and bomb shipping in Lingayen Gulf. 12 P-40’s and 6 P-35’s strafe forces landing in San Miguel Bay. FEAF comes under control of newly-created USFIA. Gen Brereton, CG, receives orders establishing HQ FEAF at Darwin.",15.18,120.56,16.02,120.23,1941-12-23T06:00:00Z,0.3,25000,182,,Clark Field Philippines,Lingayen,4,,Strategic Bombing
FEAF-19411223-01,FEAF,P-40 Warhawk,"4 B-17’s take off from Del Monte shortly after midnight during 22/23 Dec and bomb shipping in Lingayen Gulf. 12 P-40’s and 6 P-35’s strafe forces landing in San Miguel Bay. FEAF comes under control of newly-created USFIA. Gen Brereton, CG, receives orders establishing HQ FEAF at Darwin.",15.18,120.56,16.02,120.23,1941-12-23T06:00:00Z,0.2,15000,310,,Clark Field Philippines,Lingayen,12,,Fighter
FEAF-19411224-00,FEAF,B-17 Flying Fortress,"3 B-17’s fly from Del Monte during 24/25 Dec, bomb A/F and shipping at Davao, and land at Batchelor Field. 2 airplanes leave Manila for Darwin with personnel of Hq FEAF. AAF units on Luzon, as well as ground forces, begin moving to Bataan Peninsula.",15.18,120.56,7.07,125.61,1941-12-24T06:00:00Z,3.1,25000,182,,Clark Field Philippines,Davao,3,,Strategic Bombing
FEAF-19420105-00,FEAF,B-17 Flying Fortress,"B-17’s from Malang stage through Samarinda during 4/5 Jan and attack shipping in Davao Bay. USFIA, which controls FEAF, is redesignated USAFIA, and Gen Brett assumes cmd.",-12.46,130.84,7.07,125.61,1942-01-05T06:00:00Z,6.7,25000,182,,Darwin Australia,Davao,,,Strategic Bombing
FEAF-19420109-00,FEAF,B-17 Flying Fortress,"B-17’s, flying out of Kendari, strike shipping in Davao Bay.",-12.46,130.84,7.07,125.61,1942-01-09T06:00:00Z,6.7,25000,182,,Darwin Australia,Davao,,,Strategic Bombing
FEAF-19420111-00,FEAF,B-17 Flying Fortress,"B-17’s, out of Malang, attack landing forces on island of Tarakan.",-12.46,130.84,,,1942-01-11T06:00:00Z,,25000,182,,Darwin Australia,,,,Strategic Bombing
FEAF-19420115-00,FEAF,B-17 Flying Fortress,"B-17’s, flying out of Palembang, attack Sungei Patani A/F.",-12.46,130.84,,,1942-01-15T06:00:00Z,,25000,182,,Darwin Australia,,,,Strategic Bombing
HAWAIIANAF-19420116-00,Hawaiian AF,B-17 Flying Fortress,"First significant deployment of aircraft from Hawaiian AF begins with movement of 6 B-17’s, com- manded by Lt Col Walter C Sweeney, to Palmyra for duty with TG 8.9.",21.3156,-157.9497,,,1942-01-16T06:00:00Z,,25000,182,,Hickam Field Hawaii,,6,,Strategic Bombing
FEAF-19420117-00,FEAF,B-17 Flying Fortress,"B-17’s from Malang, staging through Kendari, hit Langoan A/F and ships in Menado Bay.",-12.46,130.84,1.1,124.98,1942-01-17T06:00:00Z,4.9,25000,182,,Darwin Australia,Langoan,,,Strategic Bombing
HAWAIIANAF-19420117-00,Hawaiian AF,B-17 Flying Fortress,Aircraft unsuccessfully attack submarines in Hawaiian area. B-17’s of TG 8.9 proceed from Palmyra to Canton I.,21.3156,-157.9497,23.13,113.26,1942-01-17T06:00:00Z,26.6,25000,182,,Hickam Field Hawaii,Canton,,,Strategic Bombing
HAWAIIANAF-19420118-00,Hawaiian AF,B-17 Flying Fortress,Another unsuccessful attack on enemy submarines in Hawaiian area. B-17’s of TG 8.9 conduct anti- submarine search from Canton I.,21.3156,-157.9497,,,1942-01-18T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Strategic Bombing
FEAF-19420119-00,FEAF,B-17 Flying Fortress,"B-17’s, flying out of Malang, attack shipping at Jolo.",-12.46,130.84,,,1942-01-19T06:00:00Z,,25000,182,,Darwin Australia,,,,Strategic Bombing
HAWAIIANAF-19420119-00,Hawaiian AF,B-17 Flying Fortress,B-17’s of TG 8.9 fly antisubmarine mission from Canton I.,21.3156,-157.9497,,,1942-01-19T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Patrol
HAWAIIANAF-19420121-00,Hawaiian AF,B-17 Flying Fortress,B-17’s of TG 8.9 fly from Canton | to Nandi.,21.3156,-157.9497,,,1942-01-21T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Strategic Bombing
FEAF-19420122-00,FEAF,B-17 Flying Fortress,"From this date through 3 Feb, B-17’s launch at least 15 missions out of Malang against shipping mov- ing through Makassar Strait. 4 missions abort due to bad weather, 6 end with negative results, and the remaining 5 suffer heavy losses but sink 4 ships.",-12.46,130.84,-5.14,119.41,1942-01-22T06:00:00Z,4.4,25000,182,,Darwin Australia,Makassar,,,Strategic Bombing
HAWAIIANAF-19420123-00,Hawaiian AF,B-17 Flying Fortress,B-17’s of TG 8.9 return from Nandi to Canton |.,21.3156,-157.9497,23.13,113.26,1942-01-23T06:00:00Z,26.6,25000,182,,Hickam Field Hawaii,Canton,,,Strategic Bombing
HAWAIIANAF-19420125-00,Hawaiian AF,B-17 Flying Fortress,B-17’s of TG 8.9 fly from Canton | to Nandi.,21.3156,-157.9497,,,1942-01-25T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Strategic Bombing
HAWAIIANAF-19420127-00,Hawaiian AF,B-17 Flying Fortress,B-17’s of TG 8.9 return to Canton I.,21.3156,-157.9497,-2.77,-171.72,1942-01-27T06:00:00Z,26.6,25000,182,,Hickam Field Hawaii,Canton Island,,,Strategic Bombing
FEAF-19420128-00,FEAF,B-17 Flying Fortress,B-17’s from Malang and Palembang attack A/Fs at Kendari and Kuala Lumpur.,-12.46,130.84,-3.97,122.52,1942-01-28T06:00:00Z,3.9,25000,182,,Darwin Australia,Kendari,,,Strategic Bombing
HAWAIIANAF-19420128-00,Hawaiian AF,B-17 Flying Fortress,B-17’s of TG 8.9 fly unsuccessful antisubmarine mission from Canton I.,21.3156,-157.9497,,,1942-01-28T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Patrol
FEAF-19420129-00,FEAF,B-17 Flying Fortress,"B-17’s, striking out of Palembang, hit Kuantan A/F scoring numerous hits on runways and hangars.",-12.46,130.84,,,1942-01-29T06:00:00Z,,25000,182,,Darwin Australia,,,,Strategic Bombing
HAWAIIANAF-19420129-00,Hawaiian AF,B-17 Flying Fortress,Vil BC is activated. B-17’s of TG 8.9 fly from Canton | to Palmyra.,21.3156,-157.9497,,,1942-01-29T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Strategic Bombing
HAWAIIANAF-19420130-00,Hawaiian AF,B-17 Flying Fortress,"B-17’s of TG 8.9 return to Hawaii, having completed a mission (began on 16 Jan 42) which afforded a pioneer look at the problem of air operations over vast Pacific areas, especially the problems of navi gation and the servicing of aircraft.",21.3156,-157.9497,,,1942-01-30T06:00:00Z,,25000,182,,Hickam Field Hawaii,,,,Strategic Bombing
FEAF-19420201-00,FEAF,P-40 Warhawk,"P-40’s from Bataan bomb and strafe landing barges off Quinauan Point during 1/2 Feb. These strikes, in conjunction with naval and field arty fire, cause considerable damage and casualties but fail to pre- vent the landings which take place S of the point, although the attempt to reinforce troops already on the point is thwarted.",-12.46,130.84,,,1942-02-01T06:00:00Z,,15000,310,,Darwin Australia,,,,Fighter
FEAF-19420203-00,FEAF,B-17 Flying Fortress,"Bad weather from now until 18 Feb, along with effective interception by ftrs, thwarts attempts of HBs in Java to deliver damaging blows on shipping and A/Fs in NEI. B-17’s strikes from Singosari against shipping at Balikpapan (8 Feb) and an A/F at Kendari (9 Feb) are repulsed by ftr attacks. B-17’s on a shipping strike claim hits on a carrier near Sinjai.",-12.46,130.84,-6.17,106.83,1942-02-03T06:00:00Z,8.1,25000,182,,Darwin Australia,Java,,,Strategic Bombing
SEVENTHAF-19420209-00,Seventh AF,B-17 Flying Fortress,12 B-17’s are detached and released to CINCPAC for assignment to TF 11 for operations in S_ Pacific.,21.3156,-157.9497,,,1942-02-09T06:00:00Z,,25000,182,,Hickam Field Hawaii,,12,,Strategic Bombing
SEVENTHAF-19420214-00,Seventh AF,B-17 Flying Fortress,A B-17 flies photo rcn of Wake I.,21.3156,-157.9497,19.28,166.65,1942-02-14T06:00:00Z,11.0,25000,182,,Hickam Field Hawaii,Wake,,,Reconnaissance
FIFTHAF-19420219-00,Fifth AF,B-17 Flying Fortress,"Operating out of Malang, Madioen, and Jogjakarta, A-24’s, with P-40 escort, and B-17’s attack vessel landing troops on Bali. The attacks, carried out during the afternoon of 19 Feb and throughout the morning of 20 Feb, cause considerable damage to vessels but fail to halt the landings. P-40’s shoot down or turn back several bmrs weeping W over Java. Japanese airplane attack Darwin, bombing vessels loaded with troops destined for defense of Koepang on Timor |. 10 P-40’s sent to Darwin to escort the convoy are almost entirely wiped out by the attack.",-12.46,130.84,-6.17,106.83,1942-02-19T06:00:00Z,8.1,25000,182,,Darwin Australia,Java,,,Strategic Bombing
FIFTHAF-19420219-01,Fifth AF,P-40 Warhawk,"Operating out of Malang, Madioen, and Jogjakarta, A-24’s, with P-40 escort, and B-17’s attack vessel landing troops on Bali. The attacks, carried out during the afternoon of 19 Feb and throughout the morning of 20 Feb, cause considerable damage to vessels but fail to halt the landings. P-40’s shoot down or turn back several bmrs weeping W over Java. Japanese airplane attack Darwin, bombing vessels loaded with troops destined for defense of Koepang on Timor |. 10 P-40’s sent to Darwin to escort the convoy are almost entirely wiped out by the attack.",-12.46,130.84,-6.17,106.83,1942-02-19T06:00:00Z,4.7,15000,310,,Darwin Australia,Java,10,,Fighter
FIFTHAF-19420223-00,Fifth AF,B-17 Flying Fortress,"B-17’s fly first mission against Rabaul. Operating out of Townsville, the force suffers mechanical trou- ble and runs into bad weather. Only 1 HB manages to bomb the tgt. Gen Brereton, CG, departs for India after issuing order terminating HQ Fifth AF. Until 3 Sep 42, units of Fifth AF will be initially under control of ABDACOM and then Allied AF (SWPA).",-12.46,130.84,-4.2,152.18,1942-02-23T06:00:00Z,7.5,25000,182,,Darwin Australia,Rabaul,1,,Strategic Bombing
FIFTHAF-19420227-00,Fifth AF,B-17 Flying Fortress,"Battle of Java Sea. Allied air and naval units try to stop convoy of some 80 ships approaching Java from NE. All available B-17’s, A-24’s, P-40’s and LB-30’s are put into the air but achieve only insignifi- cant results. An Allied naval force, 5 cruisers and 11 destroyers, under Adm Doorman, Royal Netherlands Navy, meets the enemy near Surabaya and is decisively defeated, losing 5 ships. Most of Fifth AF ground echelon in Java is evacuated by sea. The Sea Witch delivers 27 crated P-40’s to Tjilatjap, Java, but these will be destroyed to prevent their falling into Japanese hands. 32 P-40’s aboard the USS Langley, which sailed from Australia for India on 23 Feb, are lost when the Langley is sunk by aircraft 100 mi S of Tjilatjap. The pilots are rescued by other vessels in the convoy, but the enemy sinks these ships with the exception of a destroyer, which delivers 2 of the pilots to Perth. The Langley, America’s first aircraft carrier, was sunk.",-12.46,130.84,-6.17,106.83,1942-02-27T06:00:00Z,8.1,25000,182,,Darwin Australia,Java,,,Strategic Bombing
FIFTHAF-19420227-01,Fifth AF,P-40 Warhawk,"Battle of Java Sea. Allied air and naval units try to stop convoy of some 80 ships approaching Java from NE. All available B-17’s, A-24’s, P-40’s and LB-30’s are put into the air but achieve only insignifi- cant results. An Allied naval force, 5 cruisers and 11 destroyers, under Adm Doorman, Royal Netherlands Navy, meets the enemy near Surabaya and is decisively defeated, losing 5 ships. Most of Fifth AF ground echelon in Java is evacuated by sea. The Sea Witch delivers 27 crated P-40’s to Tjilatjap, Java, but these will be destroyed to prevent their falling into Japanese hands. 32 P-40’s aboard the USS Langley, which sailed from Australia for India on 23 Feb, are lost when the Langley is sunk by aircraft 100 mi S of Tjilatjap. The pilots are rescued by other vessels in the convoy, but the enemy sinks these ships with the exception of a destroyer, which delivers 2 of the pilots to Perth. The Langley, America’s first aircraft carrier, was sunk.",-12.46,130.84,-6.17,106.83,1942-02-27T06:00:00Z,4.7,15000,310,,Darwin Australia,Java,,,Fighter
FIFTHAF-19420302-00,Fifth AF,B-17 Flying Fortress,"5 B-17’s and 3 LB-30’s (the last airplane taking off just before midnight) evacuate the last 260 men from Jogjakarta, the last A/F on Java in Allied hands. Ground forces are within 20 mi at this time. Bataan-based P-40’s attack shipping in Subic Bay. The pilots claim considerable damage to the ships, but 4 of the few P-40’s remaining on Bataan are lost.",-12.46,130.84,14.68,120.4,1942-03-02T06:00:00Z,9.6,25000,182,,Darwin Australia,Bataan,5,,Strategic Bombing
FIFTHAF-19420302-01,Fifth AF,P-40 Warhawk,"5 B-17’s and 3 LB-30’s (the last airplane taking off just before midnight) evacuate the last 260 men from Jogjakarta, the last A/F on Java in Allied hands. Ground forces are within 20 mi at this time. Bataan-based P-40’s attack shipping in Subic Bay. The pilots claim considerable damage to the ships, but 4 of the few P-40’s remaining on Bataan are lost.",-12.46,130.84,14.68,120.4,1942-03-02T06:00:00Z,5.6,15000,310,,Darwin Australia,Bataan,,,Fighter
FIFTHAF-19420303-00,Fifth AF,B-17 Flying Fortress,"Japanese airplanes attack A/F and harbor at Broome, Australia at 1000, shortly after arrival of 8 Hbs evacuating men from Java. The Japanese destroy 2 B-17’s, 2 B-24’s, 12 seaplanes, and 2 Hudsons, and kill at least 45 Dutch civilians and 20 US airmen.",-12.46,130.84,,,1942-03-03T06:00:00Z,,25000,182,,Darwin Australia,,2,,Strategic Bombing
FIFTHAF-19420303-01,Fifth AF,B-24 Liberator,"Japanese airplanes attack A/F and harbor at Broome, Australia at 1000, shortly after arrival of 8 Hbs evacuating men from Java. The Japanese destroy 2 B-17’s, 2 B-24’s, 12 seaplanes, and 2 Hudsons, and kill at least 45 Dutch civilians and 20 US airmen.",-12.46,130.84,,,1942-03-03T06:00:00Z,,22000,215,,Darwin Australia,,2,,Tactical Bombing
TENTHAF-19420305-00,Tenth AF,B-17 Flying Fortress,"Gen Brereton who arrived in India from NEI on 25 Feb, formally takes cmd of Tenth AF, which at this time has 8 tac aircraft (B-17’s).",24.86,67.01,,,1942-03-05T06:00:00Z,,25000,182,,Karachi India,,,,Patrol
TENTHAF-19420308-00,Tenth AF,B-17 Flying Fortress,"HQ Tenth AF begins moving from Patterson Field to India. Between this date and 13 Mar, the 8 B-17’s in India transport 474 troops and 29 tons of supplies from India to Magwe and on the return flights evacuate 423 civilians.",24.86,67.01,,,1942-03-08T06:00:00Z,,25000,182,,Karachi India,,8,,Strategic Bombing
TENTHAF-19420312-00,Tenth AF,P-40 Warhawk,10 P-40’s arrive in Karachi by ship from Australia.,24.86,67.01,,,1942-03-12T06:00:00Z,,15000,310,,Karachi India,,10,,Fighter
FIFTHAF-19420316-00,Fifth AF,B-17 Flying Fortress,"3 B-17’s of 435th Ren Sq, 19th Bomb Gp begin evacuating Gen MacArthur, his family, and his staff from Del Monte to Australia.",-12.46,130.84,,,1942-03-16T06:00:00Z,,25000,182,,Darwin Australia,,3,,Strategic Bombing
FIFTHAF-19420326-00,Fifth AF,B-17 Flying Fortress,"3 B-17’s of 435th Ren Sq, 19th Bomb Gp, evacuate Philippine Pres Quezon and his family to Australia.",-12.46,130.84,,,1942-03-26T06:00:00Z,,25000,182,,Darwin Australia,,3,,Strategic Bombing
TENTHAF-19420403-00,Tenth AF,B-17 Flying Fortress,"6 HBs from Asansol bomb warehouses and docks at Rangoon, starting 3 large fires. 1 B-17 fails to return.",24.86,67.01,24.86,67.01,1942-04-03T06:00:00Z,18.7,25000,182,24.86:67.01;16.87:96.17;24.86:67.01,Karachi India,Rangoon,1,,Strategic Bombing
FIFTHAF-19420412-00,Fifth AF,B-17 Flying Fortress,"Australia-based B-25’s, staging through Mindanao, hit harbor and shipping at Cebu while B-17’s carry out single-bmr strikes from Mindanao against Cebu harbor and Nichols Field.",-12.46,130.84,10.31,123.89,1942-04-12T06:00:00Z,7.8,25000,182,,Darwin Australia,Cebu,,,Strategic Bombing
FIFTHAF-19420412-01,Fifth AF,B-25 Mitchell,"Australia-based B-25’s, staging through Mindanao, hit harbor and shipping at Cebu while B-17’s carry out single-bmr strikes from Mindanao against Cebu harbor and Nichols Field.",-12.46,130.84,10.31,123.89,1942-04-12T06:00:00Z,6.2,15000,230,,Darwin Australia,Cebu,,,Tactical Bombing
FIFTHAF-19420413-00,Fifth AF,B-25 Mitchell,"Australia-based B-25’s hit tgts in the Phil Is for second consecutive day. Staging through Valencia the B-25’s take off just after midnight during 12/13 Apr and bomb Cebu shipping and installations at Davao. Later in the day the MBs again attack Davao, bombing the dock area.",-12.46,130.84,10.31,123.89,1942-04-13T06:00:00Z,6.2,15000,230,,Darwin Australia,Cebu,,,Tactical Bombing
TENTHAF-19420416-00,Tenth AF,B-17 Flying Fortress,"HBs take off from Dum A/F near Calcutta to bomb Rangoon. 6 B-17’s, guided by flares, bomb the tgft. Numerous searchlights make it impossible to estimate the bombing results.",24.86,67.01,16.87,96.17,1942-04-16T06:00:00Z,9.3,25000,182,,Karachi India,Rangoon,6,,Strategic Bombing
FEAF-19420418-00,FEAF,B-25 Mitchell,"Doolittle raid on Japan. 16 B-25’s launched from carrier Hornet carry out first AAF attack on Japanese mainland. 15 of the B-25’s bomb in Japan, the principal tgts being Tokyo, Kobe, Yokohoma, and Nagoya. Since the bmrs had to be launched earlier than scheduled they are unable to reach planned bases in China and have to be crash-landed or abandoned, 15 in China and the other in the USSR.",-12.46,130.84,35.68,139.76,1942-04-18T06:00:00Z,12.8,15000,230,,Darwin Australia,Tokyo,16,,Tactical Bombing
