sortie_id,report_date,unit,squadron,source_front_image,paired_back_candidate_by_rule,paired_back_reviewed,aircraft_type,aircraft_count,base,oprep_ref,lead_aircraft,primary_target,alternate_target,target_status,time_up,time_over_target,time_down,route_summary,observation_points_raw,map_reference,weather_summary,bomb_load_carried,bombs_on_target,bombs_salvoed_or_jettisoned,bombs_returned,bombing_course,bombing_speed,bombing_altitude,bombing_interval,ammo_expended,results_summary,opposition_summary,casualties,photo_aircraft,leaflet_drops,special_remarks,coordinate_count,confidence,map_points_json
82BS_1944-10-05,1944-10-05,12th Bombardment Group (M),82nd Squadron attached flight,IMG_3393.JPG,IMG_3394.JPG,no,12 Mitchells,12,Fenny L.G.,,,"Kalewa, China/Burma theater target area, map reference RU 8269 (84 I quarter-inch)",,,0833,1008-1016,1125,"Target weather section states over base all stratus, over hills 5500 foot tops, and over target 6-7/10 cumulus with base around 15000. Front page notes a demolition bombing mission with 120 x 250 GP bombs in the first box and 16 x 250 GP bombs in the second box, with spread and interval details listed on the form.",Map reference RU 8269 (84 I quarter-inch),,,,,,,,,,,,,,,,,"This page is more fragmentary than the others in the batch, but the date, squadron, base, timing, and target reference are legible. Rule-linked candidate backside IMG_3394.JPG not yet individually reviewed.",0,medium; partial front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny L.G.""}, {""kind"": ""coordinate"", ""lat"": 23.1914, ""lon"": 94.3011, ""label"": ""Kalewa""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny L.G.""}]"
434BS_1944-10-06,1944-10-06,12th Bombardment Group (M),434th Squadron,IMG_3399.JPG,IMG_3400.JPG,no,12 B-25s,12,Comilla,,,"Village of Kalemyo, Burma",,alternate attacked,1530,1645,1800,"All aircraft took off from 1530 to 1535, flew on a course of 98 degrees to target, and returned on a course of 268 degrees. Both boxes laid bomb patterns in the village, with 88 bombs falling on the target and 7 falling short or over. Front page also records secondary observations en route near Kokko, Tiddim, and Kaptel.",22 48N 94 08E; 23 17N 93 34E,,,,,,,,,,,,,,,,"95 dropped in target area, 8 salvoed safe north of target, and 1 brought back. 1,000 propaganda leaflets were dropped in the target area","104 x 250-lb M-57 GP carried; 95 dropped in target area, 8 salvoed safe north of target, and 1 brought back. 1,000 propaganda leaflets were dropped in the target area. Rule-linked candidate IMG_3400.JPG has not yet been reviewed.",2,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 22.8, ""lon"": 94.133333, ""label"": ""22 48N 94 08E""}, {""kind"": ""coordinate"", ""lat"": 23.283333, ""lon"": 93.566667, ""label"": ""23 17N 93 34E""}, {""kind"": ""coordinate"", ""lat"": 23.1888, ""lon"": 94.0511, ""label"": ""Kalemyo""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-06,1944-10-06,12th Bombardment Group (M),81st Squadron,IMG_3403.JPG,IMG_3404.JPG,no,"12 B-25s, 7 H's, 4 J's, 1 C",12,Feni,,,"Town of Kalemyo, Burma",,,0745,0917 at Indainggyi / 0900 at Kalemyo and Kalewa,1005-1020 except #14 1120,"Multi-target strike from Feni against Kalemyo, Indainggyi, and Kalewa. Front page records separate bombing times for Indainggyi and for Kalemyo/Kalewa, with detailed bomb results for each target and narrative notes that the first box bombed Indainggyi on the second run after cloud obscured the first approach.",Indainggyi; Kalemyo; Kalewa,,,,,,,,,,,,,,,,,"108 x 250 GP instantaneous-nose bombs and 24 x 250 GP long-delay bombs were carried. The page records separate bomb totals by target, plus photographic coverage from aircraft 23 and 26 and a flexible camera from 19. Rule-linked candidate IMG_3404.JPG has not yet been reviewed.",0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 23.1888, ""lon"": 94.0511, ""label"": ""Kalemyo""}, {""kind"": ""coordinate"", ""lat"": 22.93, ""lon"": 95.33, ""label"": ""Indainggyi""}, {""kind"": ""coordinate"", ""lat"": 23.1914, ""lon"": 94.3011, ""label"": ""Kalewa""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-06,1944-10-06,12th Bombardment Group (M),82nd Squadron,IMG_3414.JPG,IMG_3415.JPG,no,11 Mitchells,11,Fenny,,,Demolition bombing of railroad bridge at Bawgyo (ST 1107),,,0731,0935 and 0947 first box / 0936 and 0949 second box,1150,"Mission from Fenny against the railroad bridge at Bawgyo. The bombing section records two runs for each box, with first-box courses of 305 and 340 degrees and second-box courses of 330 and 330 degrees, speeds around 180-185 MPH, and altitudes roughly 5600-6800 feet.",ST 1107; Mandalay-Lashio RR tracks,,,,,,,340 degrees,185 MPH,6800 feet,,was 485 rounds,,,,,,66 x 500-lb composition-B bombs were carried and all 66 were dropped. Ammunition expended was 485 rounds .50 cal. The front page also records leaflet drops along the Mandalay-Lashio railroad and summarizes run-by-run bridge-hit patterns. Rule-linked candidate IMG_3415.JPG has not yet been reviewed.,0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 22.633, ""lon"": 96.99, ""label"": ""Bawgyo""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
83BS_1944-10-06,1944-10-06,12th Bombardment Group (M),83rd Bombardment Squadron,IMG_3401.JPG,IMG_3402.JPG,no,12 Mitchell B-25s,12,"Fenny A/D, India",,,Bombing of bridge at Nyaungyan,,,0800,,1130,"Mission launched from Fenny toward the Nyaungyan bridge. As the formation approached roughly 21 50N 96 10E at 0940, enemy fighters attacked; all planes jettisoned their bomb load at 21 30N 96 07E and the target was not bombed. The front page contains an extended air-combat narrative describing multiple Japanese fighter passes and the loss of plane #63.",21 30N 96 07E; 21 50N 96 10E,,,,,,,,,,,"was 15,200 rounds",,,,,,"72 x 500 composition-B bombs were carried and all 72 were jettisoned due to enemy fighter attack. Ammunition expended was 15,200 rounds .50 cal, with an additional 5,000 rounds lost on crashed plane #63. Lt. Sheridan of plane #52 was wounded, plane #57 and the leader #65 were hit, and plane #63 crashed at 0946 with one or possibly two parachutes seen. Rule-linked candidate IMG_3402.JPG has not yet been reviewed.",2,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}, {""kind"": ""coordinate"", ""lat"": 21.833333, ""lon"": 96.166667, ""label"": ""21 50N 96 10E""}, {""kind"": ""event_coordinate"", ""lat"": 21.5, ""lon"": 96.116667, ""label"": ""21 30N 96 07E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}]"
434BS_1944-10-07,1944-10-07,12th Bombardment Group (M),434th Squadron,IMG_3405.JPG,IMG_3406.JPG,no,12 B-25s,12,Comilla,,,"Primary target: military area just north of Indainggyi, Burma (RU 608756)","area along west shore of Chindwin River, Kalewa, Burma",alternate attacked,1530,1643,1800,"All aircraft took off from 1530 to 1535 and flew on a course of 150 degrees toward Chittagong. At Rangamatti at 1605, aircraft 87 turned back with engine trouble and landed at base at 1640 with all bombs. The other 11 aircraft flew from the Chittagong area to the target on a course of 82 degrees and returned to base on 278 degrees.",RU 608756; Rangamatti 1605; red flare at 23 04N 93 41E at 1630,,,,,,,350 degrees,185 MPH,6500 feet | 180 feet,180 feet,,,,,"were taken on bomb-run statistics by aircraft 71, 78, 73, and 77, and 12,000 propaganda leaflets were dropped in the target area","115 dropped in target area, 5 salvoed 1000 yards north of target, and 24 brought back. Bomb run 345-350 degrees at indicated 6500 feet, IAS 185 MPH, intervalometer 180 feet. Photos were taken on bomb-run statistics by aircraft 71, 78, 73, and 77, and 12,000 propaganda leaflets were dropped in the target area","144 x 250-lb M-57 GP carried; 115 dropped in target area, 5 salvoed 1000 yards north of target, and 24 brought back. Bomb run 345-350 degrees at indicated 6500 feet, IAS 185 MPH, intervalometer 180 feet. Photos were taken on bomb-run statistics by aircraft 71, 78, 73, and 77, and 12,000 propaganda leaflets were dropped in the target area. Rule-linked candidate IMG_3406.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 23.066667, ""lon"": 93.683333, ""label"": ""23 04N 93 41E""}, {""kind"": ""coordinate"", ""lat"": 22.93, ""lon"": 95.33, ""label"": ""Indainggyi""}, {""kind"": ""coordinate"", ""lat"": 23.1914, ""lon"": 94.3011, ""label"": ""Kalewa""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-07,1944-10-07,12th Bombardment Group (M),81st Squadron,IMG_3418.JPG,IMG_3419.JPG,no,"12 B-25s (4 J's, 8 H's)",12,Feni,,,"Railroad bridge #393 at Pyinmana, 19 44 N 96 12 E",,alternate attacked,0810,nil,0950,"Mission from Feni against the Pyinmana bridge system. The formation was unable to make contact with the fighter escort over the rendezvous point at Chittagong and turned back as briefed at 21 30 N, 92 45 E at 0910, landing back at Feni at 0950.",19 44 N 96 12 E; 21 30 N 92 45 E; Sinthe LQ 682367; Shweda LQ 525925,,,,,,,,,,,405 rounds,,,,,,"80 x 500-lb comp B bombs were carried; none were dropped and all were brought back. Leaflets on takeoff: 12,000 SB/15 and 3,000 SBN/2, all brought back. Ammunition expended: 405 rounds .50 caliber. Rule-linked candidate IMG_3419.JPG has not yet been reviewed.",2,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 19.733333, ""lon"": 96.2, ""label"": ""19 44 N 96 12 E""}, {""kind"": ""coordinate"", ""lat"": 19.7381, ""lon"": 96.2074, ""label"": ""Pyinmana""}, {""kind"": ""event_coordinate"", ""lat"": 21.5, ""lon"": 92.75, ""label"": ""21 30 N, 92 45 E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-07,1944-10-07,12th Bombardment Group (M),82nd Squadron,IMG_3416.JPG,IMG_3417.JPG,no,12 Mitchells,12,Fenny,,,Bombing of railroad bridge at Pyinmana (LV 6695),,,0812,none recorded,1010,Mission launched from Fenny against the railroad bridge at Pyinmana. Front page records that the fighter escort failed to rendezvous as scheduled and the entire formation returned to base without pressing the strike.,LV 6695,,,,,,80 x 500-lb composition B bombs were carried and all were brought back,,,,,310 rounds,,,,,,80 x 500-lb composition B bombs were carried and all were brought back. Ammunition expended: 310 rounds .50 cal. Rule-linked candidate IMG_3417.JPG is the reverse-side candidate by number but has not been reviewed.,0,medium-high; clear aborted-mission front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 19.7381, ""lon"": 96.2074, ""label"": ""Pyinmana""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
434BS_1944-10-10,1944-10-10,12th Bombardment Group (M),434th Squadron,IMG_3424.JPG,IMG_3425.JPG,no,12 B-25s,12,Comilla,,,Bomb bridges along the Kanu-to-Yeu road,,,0900,1030-1045,1240,"All aircraft took off from 0900 to 0905 and flew on a course of 100 degrees to the target. At 1000, aircraft 78 turned back at 23 05N, 93 40E with engine trouble and landed at base at 1057 with all bombs. The other 11 aircraft returned from the target on a course of 280 degrees.",SR 240204; 23 05N 93 40E; RU 8758 at 1112,,,,,,,90 degrees,185 MPH,5100 feet | 100 feet | 000 feet,,704 rounds,,,,"were taken by aircraft 71, 77, 73, and 85","71, 77, 73, and 85. 8,800 propaganda leaflets CBA/31 were released, and a river boat over 100 feet long was observed on the Chindwin River at RU 8758 at 1112 from indicated 12,000 feet","144 x 250-lb M-57 GP instantaneous-nose bombs were carried; 132 were dropped in the target area and 12 were brought back. Ammunition expended: 704 rounds .50 cal. Bomb run 90 degrees at indicated 4500 to 5100 feet, IAS 185 MPH; each box made two bomb runs, dropping half their loads on each run. Photos were taken by aircraft 71, 77, 73, and 85. 8,800 propaganda leaflets CBA/31 were released, and a river boat over 100 feet long was observed on the Chindwin River at RU 8758 at 1112 from indicated 12,000 feet. Rule-linked candidate IMG_3425.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""event_coordinate"", ""lat"": 23.083333, ""lon"": 93.666667, ""label"": ""23 05N, 93 40E""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-10,1944-10-10,12th Bombardment Group (M),81st Squadron,IMG_3430.JPG,IMG_3431.JPG,no,"12 B-25s (4 J's, 8 H's)",12,FENI,,21,"Railroad bridge at Chaung-U, Burma (21 57N, 95 17E)",,alternate attacked,0820,0958-1010,1130,"The front page identifies 81st Squadron with leading aircraft 21. Weather was good, with 6/10 cumulus, 2000-foot base, and 8-10 mile visibility. The first box bombed the Chaung-U bridge in multiple runs, with bombs released at 1001 and 1010 on headings of 190 and 200 degrees from about 1700 feet indicated at 190 IAS. The second box also made repeated runs, including a 0958 drop and a 1005 run on 200 to 250 degrees from about 2700 feet indicated at 185 IAS.",Chaung-U 21 57N 95 17E; Monywa 22 07N 95 08E; Indainggyi RU 6074,,,80 x 500-lb Comp B fused 1/10 nose x 1/40 tail,72 x 500,,"8 x 500, because A/C 22 took off and landed immediately due to engine trouble",200 degrees,190 IAS | 185 IAS,1700 feet indicated | 2700 feet indicated,,475 rounds,say the bridge was still standing on arrival,,,from a fixed K-24 in A/C 20 and from flexible K-20s in A/C 09 and 19,,"Bombs carried on takeoff: 80 x 500-lb Comp B fused 1/10 nose x 1/40 tail. Bombs dropped on target: 72 x 500. Bombs brought back: 8 x 500, because A/C 22 took off and landed immediately due to engine trouble. Ammunition expended: 475 rounds .50 cal. Results say the bridge was still standing on arrival; bombing likely weakened the northern support, damaged tracks at the northern end, and left the southern end appearing out of line. The formation also saw light and heavy AA about 5 miles north of Monywa, apparently directed at another squadron bombing there. Photographs were taken from a fixed K-24 in A/C 20 and from flexible K-20s in A/C 09 and 19. Rule-linked candidate IMG_3431.JPG has not yet been reviewed.",2,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""FENI""}, {""kind"": ""coordinate"", ""lat"": 21.95, ""lon"": 95.283333, ""label"": ""21 57N 95 17E""}, {""kind"": ""coordinate"", ""lat"": 22.116667, ""lon"": 95.133333, ""label"": ""22 07N 95 08E""}, {""kind"": ""coordinate"", ""lat"": 21.95, ""lon"": 95.27, ""label"": ""Chaung-U""}, {""kind"": ""coordinate"", ""lat"": 22.1086, ""lon"": 95.1358, ""label"": ""Monywa""}, {""kind"": ""coordinate"", ""lat"": 22.93, ""lon"": 95.33, ""label"": ""Indainggyi""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""FENI""}]"
82BS_1944-10-10,1944-10-10,12th Bombardment Group (M),82nd Squadron,IMG_3427.JPG,IMG_3428.JPG,no,12 Mitchells,12,Fenny,,,"Demolition bombing of stores area at Monywa, Burma (PK 5184)",,,0800,0922 first box / 0929 second box,1105,"Target weather notes one large cloud over the target with 6000-foot base building to 10,000. Bombing was in two boxes: first-box course 157 degrees at 195 MPH from 8000 feet, second-box course 153 degrees at 180 MPH from 8200 feet, with 300-foot intervalometer setting. The first-box pattern started at an east-west road crossing in the northern half of the target area and ran south through central and eastern portions; the second-box pattern started south of the same road and followed a similar course with a few hits just outside the eastern portion.",Monywa PK 5184; fire believed to come from a large white building or possible pagoda where the Thade Chaung river forms a Y-runner,,,80 x 500-lb composition B fused 1/10 nose and 1/40 tail,,,,157 degrees,195 MPH | 180 MPH,8000 feet | 8200 feet | 8000 feet | 3000 feet,,740 rounds,,"included fifteen to twenty bursts of 20 mm at 8000 feet plus nine bursts of light AA at 10,000 and trailing. Smoke rising to 3000 feet could be seen 30 miles from the target area",,,"included SJ/40 (50,000), SJN/8 (5,000), SJN/7 (5,000), and SBN/2 (3,000), dropped along the railroad southeast of the target","Bombs carried: 80 x 500-lb composition B fused 1/10 nose and 1/40 tail. All 80 bombs were dropped on target. Ammunition expended: 740 rounds .50 cal. Leaflets dropped included SJ/40 (50,000), SJN/8 (5,000), SJN/7 (5,000), and SBN/2 (3,000), dropped along the railroad southeast of the target. Opposition included fifteen to twenty bursts of 20 mm at 8000 feet plus nine bursts of light AA at 10,000 and trailing. Smoke rising to 3000 feet could be seen 30 miles from the target area. Rule-linked candidate IMG_3428.JPG has not yet been reviewed.",0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 22.1086, ""lon"": 95.1358, ""label"": ""Monywa""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
434BS_1944-10-11,1944-10-11,12th Bombardment Group (M),434th Squadron,IMG_3437.JPG,IMG_3438.JPG,no,9 B-25s,9,Comilla,,,"rail bridge at Kyaukse, Burma","rail bridge at Chaungu, Burma",alternate attacked,0845,1040-1050,1240,"All aircraft took off from 0845 to 0850, flew out on a course of 113 degrees to target, and returned on 294 degrees. Bombing time is listed as 1040 to 1050. The bomb run was 320 to 350 degrees from 4500 to 5100 feet indicated at IAS 180 to 185 MPH, with 20-foot interval setting and pattern bombing on the formation leader.",Kyaukse area; grass fighter strip just south of Kyaukse at LF 655155,,,"62 x 500-lb M-64 GP, instantaneous nose and 1/40 tail",,,,350 degrees,185 MPH,5100 feet indicated,,546 rounds,"note all bombs in the target area. Photos were taken on bomb-run statistics by A/C 71, 76, and 77, and a grass fighter strip was photographed by A/C 77. No propaganda leaflets were dropped",,,"were taken on bomb-run statistics by A/C 71, 76, and 77, and a grass fighter strip was photographed by A/C 77","546 rounds .50 cal, estimated test fired. Results note all bombs in the target area. Photos were taken on bomb-run statistics by A/C 71, 76, and 77, and a grass fighter strip was photographed by A/C 77. No propaganda leaflets were dropped","Bombs carried on takeoff: 62 x 500-lb M-64 GP, instantaneous nose and 1/40 tail. All bombs were dropped in the target area. Ammunition expended: 546 rounds .50 cal, estimated test fired. Results note all bombs in the target area. Photos were taken on bomb-run statistics by A/C 71, 76, and 77, and a grass fighter strip was photographed by A/C 77. No propaganda leaflets were dropped. Observations note the grass fighter strip ran roughly NW-SE, was marked with bomb craters, and had large white and orange boxes piled near its southeast end. Rule-linked candidate IMG_3438.JPG has not yet been reviewed.",0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 21.6056, ""lon"": 96.135, ""label"": ""Kyaukse""}, {""kind"": ""coordinate"", ""lat"": 21.95, ""lon"": 95.27, ""label"": ""Chaungu""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-11,1944-10-11,12th Bombardment Group (M),81st Squadron,IMG_3443.JPG,IMG_3444.JPG,no,"12 B-25s (4 J's, 7 H's, 1 G)",12,Feni,,,"R.R. Bridge #393 at Sinthe, LQ 682367","R.R. bridge at Shweda, LQ 525925",alternate attacked,0820,1025,1210,"Mission from Feni with 7 P-38 escorts against the Sinthe bridge. Aircraft #20 turned back at 0837 at 22 20 N, 91 50 E due to engine trouble; aircraft 29 and 19 misunderstood the signal and followed it back to base, all three landing at 0900. The primary target was bombed at 1025 from a true altitude of 2500 feet on a course of 105 degrees at IAS 185.",LQ 682367; LQ 525925; 20 26 N 95 27 E; 22 20 N 91 50 E; Yenganyaung,,,,46 x 500-lb GP and 8 x 500-lb composition-B,"6 x 500-lb composition-B were salvoed on the railroad at 20 26 N, 95 27 E after a mechanical release failure",20 x 500-lb GP were brought back,105 degrees,,2500 feet,,425 rounds,,,,were taken from K-24 fixed cameras in aircraft 27 and 22 and K-20 flexible cameras in aircraft 19 and 25,,"66 x 500-lb GP bombs and 14 x 500-lb composition-B bombs were carried. Bombs dropped on target: 46 x 500-lb GP and 8 x 500-lb composition-B; 6 x 500-lb composition-B were salvoed on the railroad at 20 26 N, 95 27 E after a mechanical release failure; 20 x 500-lb GP were brought back. Ammunition expended: 425 rounds .50 caliber. Assessment states the track at the western end of the bridge was badly damaged and the extreme western approach may have been weakened. Photos were taken from K-24 fixed cameras in aircraft 27 and 22 and K-20 flexible cameras in aircraft 19 and 25. Rule-linked candidate IMG_3444.JPG has not yet been reviewed.",2,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 20.433333, ""lon"": 95.45, ""label"": ""20 26 N 95 27 E""}, {""kind"": ""event_coordinate"", ""lat"": 22.333333, ""lon"": 91.833333, ""label"": ""22 20 N, 91 50 E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-11,1944-10-11,12th Bombardment Group (M),82nd Squadron,IMG_3439.JPG,IMG_3440.JPG,yes,12 Mitchells,12,Fenny,,,Demolition bombing of Pyinmana Bridge (LV 6695),,,0800,1017 first box / 1027 second box,1220,Mission from Fenny against Pyinmana Bridge. Front and reverse pages show the first box bombed on a pattern that started on the north bank northwest of the bridge and ran northeast across the roadbed; the second box followed a similar pattern closer to the river. Aircraft #34 had a mechanical failure and salvoed 500 yards past the pattern.,LV 6695; LV 6981; LV 5071; LV 5373; LQ 6712; LV 3286; PU 8738; LV 4679; Yenangyaung PU 1684,,narrative on the reverse was also reviewed,,,,,,,,,670 rounds,,,,"were taken by aircraft 39, 36, 33, and 44","30,000 SB/17 and 5,000 SBN/3 just east of the target area","70 x 500-lb composition-B bombs and 14 x 500-lb RDX bombs were carried and all 84 bombs were dropped. Ammunition expended: 670 rounds .50 cal. Leaflets dropped: 30,000 SB/17 and 5,000 SBN/3 just east of the target area. Reverse page records AA/AAA fire southwest of Pyinmana and HAA from Yenangyaung. Photos were taken by aircraft 39, 36, 33, and 44. Observations include covered sheds at LV 6981, a storage area near Kontha at LV 5071, a strip at Lewe LV 5373, dispersed rolling stock at LQ 6712, and other road and river activity. Weather narrative on the reverse was also reviewed.",0,high for front+back extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 19.7381, ""lon"": 96.2074, ""label"": ""Pyinmana""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
434BS_1944-10-12,1944-10-12,12th Bombardment Group (M),434th Squadron,IMG_3449.JPG,IMG_3450.JPG,no,12 B-25s,12,Comilla,,,"Primary target: rail bridge at Myittha, Burma","rail bridge at Chaungu, Burma",alternate attacked,0900,1106-1113,1310,"All aircraft took off from 0900 to 0905 and flew on a course of 116 degrees to the target. Aircraft 78 turned back at 23 15N, 91 40E and landed at 0925 with all bombs; aircraft 85 turned back at 22 52N, 92 27E and landed at 0944 with all bombs. The other 10 aircraft returned from target on a course of 295 degrees.",23 15N 91 40E; 22 52N 92 27E; 21 54N 94 53E; 22 22N 93 56E; 22 46N 92 50E,,,,,,,360 degrees,180 MPH,5200 feet,20 feet,510 rounds,,,,"were taken on bomb-run statistics by aircraft 70, 76, and 77",,"80 x 500-lb M-65 GP bombs were carried. 54 bombs were dropped in the target area, 17 were dropped 2000 yards south of target in open country, and 13 were salvoed en route: 6 at 1149 near 21 54N 94 53E, 3 at 1210 near 22 22N 93 56E, and 4 at 1229 near 22 46N 92 50E. Ammunition expended: 510 rounds .50 cal estimated test fire. Bomb run 340-360 degrees at indicated 5200 feet, IAS 180 MPH, interval 20 feet. The second run of the first box crossed the middle span and knocked it out. Photos were taken on bomb-run statistics by aircraft 70, 76, and 77; aircraft 76 also photographed Kume Road railroad station at 1110. Rule-linked candidate IMG_3450.JPG has not yet been reviewed.",5,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 20.85, ""lon"": 96.37, ""label"": ""Myittha""}, {""kind"": ""coordinate"", ""lat"": 21.95, ""lon"": 95.27, ""label"": ""Chaungu""}, {""kind"": ""event_coordinate"", ""lat"": 23.25, ""lon"": 91.666667, ""label"": ""23 15N, 91 40E""}, {""kind"": ""event_coordinate"", ""lat"": 22.866667, ""lon"": 92.45, ""label"": ""22 52N, 92 27E""}, {""kind"": ""event_coordinate"", ""lat"": 21.9, ""lon"": 94.883333, ""label"": ""21 54N 94 53E""}, {""kind"": ""event_coordinate"", ""lat"": 22.366667, ""lon"": 93.933333, ""label"": ""22 22N 93 56E""}, {""kind"": ""event_coordinate"", ""lat"": 22.766667, ""lon"": 92.833333, ""label"": ""22 46N 92 50E""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
