source_page,serial_number,name,identification,delivery,assignment,off_inventory,circumstances
26,42-6267,WINNIE,DIAM#80,12/19/1943,444BG,12/21/1949,Reclaimed Pyote
26,42-6268,GOOD HUMPIN',FOURBLUSTRP D,12/19/1943,40BG,9/18/1944,"Surveyed B-4; local flt, 2 eng on fire"
26,42-6269,SMOKEY STOVER,FOURREDSTRP C-E,12/2111943,40BG,12/21/1949,Reclaimed Pyote
26,42-6270,CASE ACE,SOLGRNRUD K7,12/18/1943,462BG,12/21/1949,Reclaimed Pyote
26,42-6271,,2WHTRUDSTRP,12/19/1943,468BG,6/7/1944,Abandoned enroute to A-7
26,42-6272,MISS MINETTE,2YLWRUDSTRP,12/18/1943,468BG,12/21/1949,Reclaimed
26,42-6272,THE OLD CAMPAIGNER,2YLWRUDSTRP,12/18/1943,468BG,12/21/1949,Reclaimed
26,42-6273,OLD-BITCH-U-AIRY BESS,SOLYLWRUD,12/23/1943,462BG,12/21/1949,Reclaimed Pyote
26,42-6274,LADY HAMILTON,2YLWRUDSTRP,12/20/1943,468BG,712911944,Crashed Occupied China from Anshan
26,42-6275,SNAFUPER BOMBER,FOURYLWSTRP,12/23/1943,40BG,11123/1944,Crew abandoned 20 miles north of A-1
26,42-6276,BLACK MAGIC,FOURBLKSTRP A,12/3111943,40BG,12/19/1944,Crew abandoned over Hump-out of fuel
26,42-6276,OLD CRACKER KEG,FOURBLKSTRP A,12/3111943,40BG,12/19/1944,Crew abandoned over Hump-out of fuel
26,42-6277,SHANGHAI LIL,DIAM#24,12/30/1943,444BG,91711944,Crash landed Dudhkundi
26,42-6278,,SOLBLURUD,12/3111943,462BG,11/21/1944,Crashed in sea from 0 mura
26,42-6279,POSTVILLE EXPRESS,2WHTRUDSTRP,12/29/1943,468BG,12/21/1949,Reclaimed
27,42-6280,DIAM# CENTURY UNLIMITED FOURYLWSTRP BODY FOURYLWSTRP,12/30/1943 12/24/1943 12/24/1943,444BG 40BG 40BG,10/14/1944 10/25/1944 10/25/1944,Exploded Crew Crew,on Formosa mission abandoned Laohokow from Omura abandoned Laohokow from Omura
27,42-6282,FOURBLKSTRP,12/23/1943,40BG,6/5/1944,Ditched,Bay of Bengal-out of fuel
27,42-6283,CHALLENGER 2YLWRUDSTRP SOLYLWRUD MANTIS DIAM#,12/24/1943 12/3111943 12/24/1943 12/3111943,40BG 468BG 462BG 444BG,1212111949 1212111949 8/2111944,Reclaimed Unknown Reclaimed MIA,"Pyote Pyote from Yawata, crashed China"
27,42-6287,SOLGRNRUD,12/3111943,462BG,6/26/1945,Taxi,accident in ZI
27,42-6288,FOURREDSTRP NIPPER FOURBLUSTRP BLITZBURGER FOURBLUSTRP,12/3111943 A 116/1944 1110/1944,40BG 40BG 40BG,10/22/1944 7/8/1944 11123/1944,Crashed Burned Hit,"on takeoff from A-1, photo msn on ground Chakulia by 444BG plane at Lianshan"
27,42-6291,FOURBLKSTRP DIAM#,119/1944 1110/1944,40BG 444BG,7/26/1944 5/19/1944,Crash Missing,Midnapare after takeoff from B-4
27,42-6293,DIAM# FOURREDSTRP MINNIE FOURYLWSTRP,116/1944 K 111111944 B 111111944,444BG 40BG 40BG,6/16/1944 1212111949 1212111949,Destroyed Reclaimed Reclaimed,"on ground, forced landing Pyote"
27,42-6296,DIAM# 297 FOURBLUSTRP FOURREDSTRP HONEY SOLGRNRUD,1114/1944 W 1116/1944 S 1118/1944 E 3 111111944,444BG 40BG 40BG 462BG,5/19/1944 1212111949 1113/1944 12/7/1944,Surveyed Reclaimed Crash Rammed,"- training mission Pyote landing-blew tire, ground looped over Mukden"
27,42-6300,DIAM#,1114/1944,444BG,1111111944,MIA,Omura
27,42-6301,FOURREDSTRP,1110/1944,40BG,8/20/1944,Crashed,west ofHsinching
27,42-6302,DIAM# MCGOON FOURBLKSTRP,1118/1944 L 1120/1944,444BG 40BG,7/15/1944 612711949,Crashed Reclaimed,"Chabua, abandoned on Hump msn Davis-Monthan"
27,42-6304,FOURBLKSTRP SOLYLWRUD LADY FOURBLKSTRP BONNET BELLE DIAM# MERCHANT FOURYLWSTRP,1118/1944 1116/1944 D 1115/1944 1116/1944 1119/1944,40BG 462BG 40BG 444BG 40BG,6/5/1944 10/111944 1212111949 11112/1944 8/20/1944,Ditched Surveyed-crashed Reclaimed Crash Crew,from Bangkok - flak damage takeoff A-5 8/20/44 Pyote landed on return abandoned Laohokow from Yawata
27,42-6309,2BLURUDSTRP HAPPY JR FOURREDSTRP SOLBLURUD MISTRESS SOLREDRUD HOW FOURYLWSTRP,1116/1944 1120/1944 1120/1944 HI 1119/1944 R 1120/1944,468BG 40BG 462BG 462BG 40BG,9/2/1944 1212111949 612711949 51211949 1212111949,Missing Reclaimed Reclaimed Reclaimed Reclaimed,en route China from India Pyote Davis-Monthan Pyote Pyote
27,42-6314,2BLURUDSTRP,1120/1944,468BG,6/9/1944,Lost,"enroute A-7, crashed Choating"
27,42-6315,DIAM# SOLREDRUD DIAM#,1120/1944 112111944 1120/1944,444BG 462BG 444BG,1212111949 612711949 1212111949,Reclaimed Reclaimed Reclaimed,Pyote Davis-Monthan Pyote
27,42-6318,FOURBLKSTRP HUSSY FOURBLUSTRP STUD DIAM# IS IT DIAM# LEE FOURBLUSTRP EILEEN DIAM# FEATHERS DIAM# DIAM# PAPA DIAM#,1122/1944 I 112111944 1124/1944 53 112111944 B 1124/1944 1124/1944 1124/1944 1125/1944 1125/1944,40BG 40BG 444BG 444BG 40BG 444BG 444BG 444BG 444BG,6/5/1944 1212111949 8/2111944 1112111944 12/23/1944 6/25/1944 1212111949 1212111949 1212111949,"Crashed Reclaimed Abandoned, Crashed Cr Crashed, Reclaimed Reclaimed Reclaimed","on Takeoff from B-4 to Bangkok Pyote engine fire Ankang from Omura 50 miles from Ankang, lost two engines burned, China on Hump mission Pyote Pyote Pyote"
27,42-6326,FOURYLWSTRP,1125/1944,40BG,9/1111944,Surveyed,-emer landing Hsinching 6/ i 8/ 44
27,42-6327,DIAM#,1125/1944,444BG,5/1/1944,"Surveyed,","engine fire, crash landing"
27,42-6328,SOLREDRUD HAO SOLREDRUD,113111944 NI 1127/1944,462BG 462BG,6/27/1944 1212111949,"Crashed, Reclaimed",burned Kiunglai on Hump mission Pyote
27,42-6330,DIAM# WITH THE WIND FOURREDSTRP OF BALTIMORE SOLREDRUD CARAVAN 2BLURUDSTRP 2REDRUDSTRP,1128/1944 1128/1944 1128/1944 113111944 2/4/1944,444BG 40BG 462BG 468BG 468BG,8/2111944 12/20/1944 8/20/1944 31211949 8/20/1944,Crashed Shot Flak Reclaimed Rammed,10 miles east of A-3 from Yawata down by British Beaufighter at Yawata-crashed China Pyote at Yawata
27,42-6335,SOLRUD,2/2/1944,462BG,10/18/1944,Surveyed,- exploded on ground
27,42-6336,SOLBLURUD,2/3/1944,462BG,6/5/1944,Surveyed;,crashed Dum-Dum first msn
27,42-6337,SOLGRNRUD SOLYLWRUD,113111944 2/7/1944,462BG 462BG,1212111949 1212111949,Reclaimed Reclaimed,Pyote Pyote
27,42-6339,,2/26/1944,248BU,612711949,Reclaimed,Davis-Monthan
27,42-6340,DIAM#,2/4/1944,444BG,1212111949,Reclaimed,Pyote
27,42-6341,DIAM# SUE FOURBLKSTRP,2/4/1944 T 2/8/1944,444BG 40BG,1212111949 10/17/1944,Reclaimed Engine,"Pyote fire, abnd SW of A-1"
28,42-6342,TABOO MA,FOURREDSTRP 2/8/1944,,40BG,10/17/1944,"Engine fire, abnd SW of A-1"
28,42-6343,MARY'S LIL LAMBS,DIAM# 2/4/1944,,444BG,12/27/1944,"Hit mountain Kwandhan, China"
28,42-6344,OLD FIRING BUTT,FOURREDSTRP 2/5/1944,,40BG,12/2111949,Reclaimed Pyote
28,42-6344,PRINCESS PATSY,FOURREDSTRP 2/5/1944,,40BG,12/2111949,Reclaimed Pyote
28,42-6345,,SOLRUD 2/9/1944,,462BG,6/26/1944,"Crashed Karachi 4/21144, salvaged"
28,42-6346,MAN-0-WAR,SOLREDRUD Al 2/4/1944,,462BG,12/2111949,Reclaimed Pyote
28,42-6347,KING SIZE,SOLYLWRUD A2 2/8/1944,,462BG,12/2111949,Reclaimed Pyote
28,42-6348,BENGAL LANCER,FOURBLUSTRP E 2/4/1944,,40BG,12/2111949,Reclaimed Pyote
28,42-6349,,2/24/1944,,4121BU,12/2111949,Reclaimed Pyote
28,42-6350,,SOLREDRUD 2/1111944,,462BG,4/13/1944,Destroyed by fire at Marrakech
28,42-6351,,FOURREDSTRP 2/12/1944,,40BG,7/29/1944,"Crashed, exploded landing at A-1"
28,42-6352,FU-KEMAL,DIAM# 21 2/1111944,,444BG,12/2111949,Reclaimed Pyote
28,42-6353,BIG POISON,DIAM# 30 12/12/1944,,444BG,12/2111949,Reclaimed Pyote
28,42-6354,MISS LACE,SOLYLWRUD 2/19/1944,,462BG,4/1/1947,Reclaimed
28,42-6355,,2/24/1944,,40BG,6/15/1944,Surveyed at Clovis
28,42-6356,THE GUSHER,2WHTRUDSTRP 2/23/1944,,468BG,8/26/1944,Crashed Fulin from A-7 to Kharagpur
28,42-6357,,2/23/1944,,611BEG,12/2111949,Reclaimed Pyote
28,42-6358,DING HAO,2YLWRUDSTRP 2/23/1944,,468BG,1112111944,Interned Vladivostok
28,42-6359,MISSOURI QUEEN,SOLBLURUD 2/18/1944,,462BG,12/7/1944,Missing
28,42-6360,,SOLGRNRUD 2/18/1944,,462BG,9/1111944,Surveyed belly landing Lachokow 9/8/44
28,42-6361,,DIAM# 2/19/1944,,444BG,6/5/1944,"Abandoned Kunming, China from Bangkok"
28,42-6362,,2WHTRUDSTRP 2/22/1944,,468BG,1112111944,"Crashed, exploded on takeoff from A-7"
28,42-6363,,,,,3/3111945,Class OlZ
28,42-6364,,2/26/1944,,500BG,6/27/1949,Reclaimed Davis-Monthan
28,42-6365,GENERAL HH ARNOLD SPCL,2YLWRUDSTRP 2/24/1944,,468BG,1111111944,Interned Vladivostok from Omura
28,42-6366,,2/24/1944,,234BU,11120/1948,Reclaimed Robins
28,42-6367,,2/24/1944,,234BU,4/25/1949,Reclaimed Robins
28,42-6368,CALAMITY SUE,2REDRUDSTRP 2/24/1944,,468BG,8/20/1944,Hit by pieces of 42-6334
28,42-6369,,2/2111944,,468BG,4/21/1944,"Crashed Karachi, India, enroute to join"
28,42-6370,LETHAL LADY,2BLURUDSTRP 2/19/1944,,468BG,1115/1944,MIA Singapore
28,42-6371,,2/26/1944,,234BU,11120/1946,Class OlZ Clovis
28,42-6372,,2/23/1944,,500BG,6/29/1944,Class 26 Walker
28,42-6373,,2/26/1944,,500BG,7/13/1944,Surveyed at Walker
28,42-6374,,2/23/1944,,499BG,9/14/1948,Reclaimed Hill
28,42-6375,,2/23/1944,,234BU,6/4/1944,Surveyed at Clovis
28,42-6376,,2/26/1944,,611EXGP,6/27/1949,Reclaimed Davis-Monthan
28,42-6377,,3/1/1944,,498BG,12/2111949,Reclaimed Pyote
28,42-6378,,3/10/1944,,499BG,6/27/1949,Reclaimed Davis-Monthan
28,42-6379,,2/26/1944,,500BG,9/18/1944,Surveyed at Walker
28,42-6380,QUEEN OF THE AIR,2/26/1944,,234BU,12/2111949,Reclaimed Pyote
28,42-6381,,3/1/1944,,234BU,9/14/1948,Reclaimed Victorville
28,42-6382,BIG CHIEF,SOLGRNRUD 3/8/1944,,462BG,6/27/1949,Reclaimed Davis-Monthan
28,42-6382,,SOLBLURUD 3/8/1944,,462BG,6/27/1949,Reclaimed Davis-Monthan
28,42-6383,,3/14/1944,,40BG,6/10/1944,Ditched - fire enroute to join
28,42-6384,,3/6/1944,,497BG,8/27/1944,Class 26 at Pratt
28,42-6385,,3/4/1944,,499BG,4/25/1949,Reclaimed Chanute
28,42-6386,,3/7/1944,,2532BU,12/2111949,Reclaimed Pyote
28,42-6387,,3/9/1944,,497BG,6/14/1944,Class 26 Pratt - crashed
28,42-6388,,3/4/1944,,343BU,9/14/1948,Reclaimed Victorville
28,42-6389,PARTY GIRL,2WHTRUDSTRP 3/2/1944,,468BG,12/7/1944,Hit Mountain from Mukden
28,42-6390,GALLOPIN' GOOSE,2YLWRUDSTRP 3/4/1944,,468BG,12/7/1944,Rammed at Mukden
28,42-6391,,4/2/1944,,497BG,12/2111949,Reclaimed Pyote
28,42-6392,,3/19/1944,,231BU,9/14/1948,Reclaimed Victorville
28,42-6393,,3/14/1944,,497BG,12/2111949,Reclaimed Pyote
28,42-6394,,3/7/1944,,,12/2111949,Reclaimed Pyote
28,42-6395,,3/20/1944,,29BG,10/8/1944,Surveyed at Pratt
28,42-6396,,3/9/1944,,6BG,5/14/1947,Reclaimed Tinker
28,42-6397,MILLION DOLLAR BABY,2BLURUDSTRP 3/9/1944,,468BG,6/27/1949,Reclaimed Davis-Monthan
28,42-6398,,3/10/1944,,231BU,2/22/1945,Surveyed at Alamogordo
28,42-6399,THE AGITATOR,DIAM# 3/9/1944,,444BG,6/27/1949,Reclaimed Davis-Monthan
28,42-6400,,3/20/1944,,236BU,12/2111949,Reclaimed Pyote
28,42-6401,,3/1111944,,499BG,12/2111949,Reclaimed Pyote
28,42-6402,,3/10/1944,,243BU,5/15/1947,Reclaimed Tinker
28,42-6403,,3/20/1944,,498BG,12/2111949,Reclaimed Pyote
28,42-6404,,3/20/1944,,498BG,12/2111949,Reclaimed Pyote
29,42-6405,,3/28/1944,234BU,3/30/1945,,Surveyed at Clovis
29,42-6406,,3/16/1944,497BG,1114/1949,,Reclaimed Kelly
29,42-6407,LUCKY SEVEN 2YLWRUDSTRP,3/23/1944,468BG,1212111949,,Reclaimed Pyote
29,42-6408,REDDY TEDDY 2WHTRUDSTRP,312911944,468BG,8/20/1944,,Direct flak hit
29,42-6409,THE UNINVITED 2YLWRUDSTRP,3/17/1944,468BG,1212111949,,Reclaimed Pyote
29,42-6410,,3/20/1944,498BG,1212111949,,Reclaimed Pyote
29,42-6411,2WHTRUDSTRP,3/30/1944,468BG,1212111949,,Reclaimed Pyote
29,42-6412,,3/27/1944,234BU,1212111949,,Reclaimed Pyote
29,42-6413,,3/27/1944,611EXGP,713111946,,Reclaimed March
29,42-6414,,3/27/1944,234BU,1212111949,,Reclaimed Pyote
29,42-6415,,3/23/1944,234BU,1212111949,,Reclaimed Pyote
29,42-6416,,3/28/1944,234BU,1212111949,,Reclaimed Pyote
29,42-6417,,3/22/1944,499BG,7/9/1944,,Class 26 Smoky Hill
29,42-6418,FOURYLWSTRP,3/23/1944,40BG,10/26/1944,,Chakulia (B-4)
29,42-6419,,4/3/1944,234BU,1212111949,,Reclaimed Pyote
29,42-6420,,4/111944,499BG,10/2/1946,,Reclaimed Seattle
29,42-6421,,4/111944,499BG,1212111949,,Reclaimed Pyote
29,42-6422,,4/8/1944,499BG,31211949,,Reclaimed Pyote
29,42-6423,URGIN' VIRGIN DIAM#,4/15/1944,444BG,1212111949,,Reclaimed Pyote
29,42-6424,,4/15/1944,499BG,612711949,,Reclaimed Davis-Monthan
29,42-6425,B-SWEET FOURREDSTRP,4/20/1944,40BG,8/19/1944,Abandoned,over Hump enroute Hsinching
29,42-6426,,5/5/1944,499BG,612711949,,Reclaimed Davis-Monthan
29,42-6427,,5/18/1944,500BG,5/15/1947,,Reclaimed Tinker
29,42-6428,,3/3111944,29BG,111311945,,Lost in training at Pratt
29,42-6429,,4/111944,234BU,1212111949,,Reclaimed Pyote
29,42-6430,,3/3111944,234BU,6/14/1945,,Surveyed at Kirtland
29,42-6431,,312911944,4136BU,5/15/1947,,Reclaimed Tinker
29,42-6432,,4/2/1944,238BU,4/111947,,Reclaimed Pyote
29,42-6433,,4/3/1944,497BG,313111950,,Reclaimed Las Vegas
29,42-6434,,4/4/1944,500BG,313111950,,Reclaimed Seattle
29,42-6435,,4/7/1944,500BG,8/30/1944,,Surveyed at Walker
29,42-6436,,4/2/1944,234BU,1212111949,,Reclaimed Pyote
29,42-6437,,4/111944,498BG,1212111949,,Reclaimed Pyote
29,42-6438,,3/3111944,231BU,11/8/1944,,Surveyed at Alamogordo
29,42-6439,,4/3/1944,19BG,11/30/1948,,Reclaimed Davis-Monthan
29,42-6440,,4/2/1944,500BG,5/15/1947,,Reclaimed Tinker
29,42-6441,,4/2/1944,243BU,1212111949,,Reclaimed Pyote
29,42-6442,,4/2/1944,234BU,11711949,,Reclaimed Pyote
29,42-6443,,4/4/1944,500BG,1212111949,,Reclaimed Pyote
29,42-6444,HUMPIN' HONEY SOLGRNRUD,4/12/1944,462BG,11/9/1944,,"Crashed on TIO 1115, Salvaged"
29,42-6445,,4/4/1944,498BG,513111946,,Reclaimed Harlingen
29,42-6446,,4/3/1944,500BG,1212111949,,Reclaimed Pyote
29,42-6447,,4/12/1944,231BU,7/14/1949,,Reclaimed Kelly
29,42-6448,,4/11/1944,500BG,1212111949,,Reclaimed Pyote
29,42-6449,,4/8/1944,499BG,512711948,,Reclaimed Tinker
29,42-6450,,4/11/1944,497BG,5/8/1949,,Reclaimed Kelly
29,42-6451,,4/12/1944,234BU,5/15/1947,,Reclaimed Tinker
29,42-6452,2RUDSTRP,4/13/1944,468BG,8/7/1944,Abandoned,enroute China for Nagasaki
29,42-6453,,4/20/1944,231BU,1212111949,,Reclaimed Pyote
29,42-6454,TOTIN' TO TOKYO 2BLURUDSTRP,4/15/1944,468BG,612711949,,Reclaimed Davis-Monthan
29,42-24420,DIAM#,4/28/1944,444BG,8/1111944,,"Ditched, out of fuel from Palembang"
29,42-24421,,4/28/1944,500BG,11/4/1948,,Reclaimed Pyote
29,42-24422,,4/29/1944,497BG,1212111949,,Reclaimed Pyote
29,42-24423,,4/29/1944,,1212111949,,Reclaimed Pyote
29,42-24424,,4/30/1944,499BG,1212111949,,Reclaimed Pyote
29,42-24425,,4/30/1944,499BG,5/10/1949,,Reclaimed Tinker
29,42-24426,,4/30/1944,498BG,1212111949,,Reclaimed Pyote
29,42-24427,,4/30/1944,231BU,6/16/1945,,Surveyed at Alamogordo
29,42-24428,,4/30/1944,231BU,5/8/1945,,Surveyed Great Bend
29,42-24429,BLIND DATE 2YLWRUDSTRP,4/30/1944,468BG,4/30/1946,,Class 0-IZ Chatham
29,42-24430,,4/30/1944,231BU,1212111949,,Reclaimed Pyote
29,42-24431,,4/30/1944,234BU,1212111949,,Reclaimed Pyote
29,42-24432,,4/30/1944,497BG,612711949,,Reclaimed Davis-Monthan
29,42-24433,,4/30/1944,29BG,1212111949,,Reclaimed Pyote
29,42-24434,,4/30/1944,231BU,211311945,,Surveyed Roswell
30,42-24435,,,5/3/1944 234BU,,10/19/1944,"Surveyed Pyote, crashed on takeoff"
30,42-24436,OLD IRONSIDE,,5/3/1944 500BG,,12/2111949,Reclaimed Pyote
30,42-24437,,,5/6/1944 505BG,,41111945,Surveyed at Pyote
30,42-24438,,,5/8/1944 500BG,,12/27/1944,Surveyed at Walker
30,42-24439,,,5/3/1944 497BG,,12/2111949,Reclaimed Pyote
30,42-24440,,,5/3/1944 499BG,,12/2111949,Reclaimed Pyote
30,42-24441,,,5/4/1944 4000EXGP,,12/2111949,Reclaimed Pyote
30,42-24442,POWER PLAY,2BLURUDSTRP,5/8/1944 468BG,,6/30/1946,Class OIZ Amarillo
30,42-24442,WICHITA WITCH,2BLURUDSTRP,5/8/1944 468BG,,6/30/1946,Class OIZ Amarillo
30,42-24443,,,5/6/1944 499BG,,12/2111949,Reclaimed Pyote
30,42-24444,,,51911944 231BU,,5/24/1949,Reclaimed Tinker
30,42-24445,,,5/16/1944 231BU,,5/24/1949,Reclaimed Tinker
30,42-24446,,2WHTRUDSTRP,51911944 468BG,,10/22/1944,"Crashed into Mt, surveyed, crew abnd"
30,42-24447,,,511311944 498BG,,511511945,Reclaimed Tinker
30,42-24448,,,5/10/1944 505BG,,12/2111949,Reclaimed Pyote
30,42-24449,,,5/12/1944 499BG,,612711949,Reclaimed Davis-Monthan
30,42-24450,,VSQ,511311944 499BG,,2/8/1945,Surveyed
30,42-24451,,,51911944 499BG,,711411949,Reclaimed Kelly
30,42-24452,,FOURYLWSTRP A,51911944 40BG,,11127/1944,Rammed by fighter at Bangkok
30,42-24453,,,511311944 247BU,,12/2111949,Reclaimed Pyote
30,42-24454,,,511711944 3PRS,,612711949,Reclaimed Davis-Monthan
30,42-24455,,,5/15/1944 231BU,,612711949,Reclaimed Davis-Monthan
30,42-24456,THE SHRIKE,SOLREDRUD,5/18/1944 462BG,,612711949,Reclaimed Davis-Monthan
30,42-24457,BATTLIN' BEAUTY,FOURREDSTRP T,511711944 40BG,,12/14/1944,Bombs exploded prematurely
30,42-24458,,,5/16/1944 58BW,,7/18/1944,Crashed Calcutta enroute to join
30,42-24459,,,5/16/1944 231BU,,711411949,Reclaimed Kelly
30,42-24460,,,511711944 497BG,,711411949,Reclaimed Kelly
30,42-24461,HAULINAS,SOLYLWRUD,5/18/1944 462BG,,2/8/1945,"Low Fuel, crash landed Oum Oum, Calcutta"
30,42-24461,,SOLGRNRUD,5/18/1944 462BG,,2/8/1945,"Low Fuel, crash landed Oum Oum, Calcutta"
30,42-24462,PRINCESS EILEEN II,DIAM#,5/18/1944 444BG,,5/11/1945,Group transfer to Tinian
30,42-24462,PRINCESS EILEEN II,TRI N 37 (I),5/11/1945 444BG,,6/30/1946,Reclaimed Amarillo
30,42-24463,HUMPIN' HONEY,SOLYLWRUD,5/20/1944 462BG,,12/2111949,Reclaimed Pyote
30,42-24464,FLYING STUD II,TRI N 22 (I),5/20/1944 444BG,,5/11/1945,Group transfer to Tinian
30,42-24464,FLYING STUD II,DIAM#,5/11/1945 444BG,,5/24/1949,Reclaimed Tinker
30,42-24465,,,5/18/1944 242BU,,12/2111949,Reclaimed Pyote
30,42-24466,THE ABLE FOX,FOURBLKSTRP W,511711944 40BG,,12/18/1944,"Crew bailed over Ankang, China"
30,42-24467,,,511911944 234BU,,612711949,Reclaimed Davis-Monthan
30,42-24468,,TSQ,5/22/1944 498BG,,2/10/1945,Ditched from Ota
30,42-24469,WHAM BAM,2BLURUDSTRP,511911944 468BG,,31211945,Abandoned Andaman Sea from Singapore
30,42-24470,,,5/22/1944 231BU,,2/28/1945,Class 0 I Z Pueblo
30,42-24471,CHAT'NOOGA CHOO CHOO,2WHTRUDSTRP,5/28/1944 468BG,,5/11/1945,Group transfer to Tinian
30,42-24471,CHAT'NOOGA CHOO CHOO,TRI I 14,5111145 468BG,,8/24/1949,Reclaimed Keesler
